acc,avespotlen,num_chunks,gbases,chunk_size,chunk
SRR14879644,300,28,83.759,10000000,6
SRR8144072,302,15,42.746,9933775,10
SRR23274479,302,37,108.502,9933775,33
ERR13325278,442,39,115.946,6787331,1
SRR14690711,300,25,73.042,10000000,4
SRR23272276,300,39,116.875,10000000,25
ERR10048366,300,45,132.222,10000000,21
ERR3589571,199,14,40.241,15075377,9
SRR24976269,300,18,51.638,10000000,3
SRR26046869,300,15,43.329,10000000,3
SRR12887165,300,33,97.144,10000000,27
SRR23287134,302,23,68.21000000000001,9933775,14
SRR10143418,302,24,69.087,9933775,14
SRR14005100,302,40,118.161,9933775,14
ERR10921466,301,15,44.718,9966778,11
SRR3314796,251,39,116.039,11952192,33
SRR30503380,296,15,42.438,10135136,13
SRR14710902,302,14,41.144,9933775,3
SRR18067465,223,26,77.238,13452915,26
ERR10921593,300,13,36.586,10000000,4
SRR29337675,501,13,37.938,5988024,2
SRR27584663,302,23,67.006,9933775,11
ERR13166146,451,33,96.59100000000001,6651885,7
SRR8556220,302,28,81.918,9933775,22
ERR10048407,300,36,105.147,10000000,1
SRR29606230,302,33,98.378,9933775,33
SRR29782983,300,44,130.59,10000000,26
ERR1078378,252,14,39.293,11904762,8
SRR23272314,300,43,126.07900000000001,10000000,27
ERR2241895,302,11,32.206,9933775,8
SRR22163826,279,35,103.875,10752689,15
SRR9041123,302,20,57.459,9933775,14
SRR29782983,300,44,130.59,10000000,14
SRR25400529,300,23,66.795,10000000,12
ERR599074,196,13,36.84,15306123,8
SRR28520288,302,29,84.833,9933775,22
SRR1179181,101,20,59.063,29702971,7
SRR17827867,299,45,132.964,10033445,14
SRR18067431,237,24,69.402,12658228,23
SRR7186478,300,20,59.182,10000000,5
SRR14292248,300,12,33.014,10000000,4
ERR1726774,196,14,41.424,15306123,8
SRR31482477,299,15,42.398,10033445,2
ERR3589571,199,14,40.241,15075377,3
SRR30757747,300,42,123.04,10000000,4
SRR25400535,300,21,60.72,10000000,20
SRR30757736,300,37,110.07900000000001,10000000,31
SRR5451372,302,20,59.057,9933775,17
SRR26080960,300,20,58.657000000000004,10000000,6
ERR594329,197,12,35.243,15228427,4
SRR32240137,200,15,44.49,15000000,15
SRR30757743,300,25,74.315,10000000,7
SRR13308541,299,12,34.322,10033445,10
ERR11443746,300,23,66.786,10000000,12
SRR17827905,299,34,101.456,10033445,9
SRR24201574,289,11,32.775,10380623,10
SRR26076637,302,12,33.349000000000004,9933775,4
SRR26458188,302,24,71.861,9933775,18
SRR20006721,302,24,71.663,9933775,21
ERR12319629,291,47,140.62800000000001,10309279,45
ERR1078383,252,22,63.492000000000004,11904762,4
SRR5496025,302,12,33.160000000000004,9933775,5
SRR27742818,302,32,93.003,9933775,18
SRR6820512,252,39,115.183,11904762,21
SRR30952573,302,48,141.229,9933775,35
DRR374620,151,52,154.386,19867550,25
SRR6011892,500,13,38.239000000000004,6000000,11
ERR12319619,297,53,156.214,10101011,50
ERR2179512,300,44,129.337,10000000,37
SRR17827851,299,41,121.785,10033445,15
ERR12418585,302,16,45.662,9933775,12
SRR28982169,300,52,155.218,10000000,13
SRR6958471,302,12,35.951,9933775,3
SRR12682966,302,28,81.548,9933775,15
ERR10493316,110,13,38.953,27272728,10
SRR8451823,302,35,102.025,9933775,34
SRR28370466,301,29,84.244,9966778,20
SRR29399787,300,23,66.446,10000000,8
SRR5260824,300,22,65.502,10000000,13
SRR23287145,300,35,102.818,10000000,11
ERR9589344,300,26,76.81,10000000,1
SRR29284155,176,24,69.062,17045455,13
SRR15910085,295,40,117.927,10169492,40
SRR12358611,250,13,37.371,12000000,13
SRR7207567,300,44,129.337,10000000,4
SRR5581333,302,14,41.031,9933775,8
SRR5581494,302,14,41.125,9933775,1
ERR12120023,301,12,35.867,9966778,8
SRR18067291,236,20,58.779,12711865,8
SRR17827897,295,35,102.881,10169492,21
ERR10048412,300,29,85.115,10000000,15
SRR11343823,302,11,30.077,9933775,1
SRR22198280,302,16,45.745,9933775,2
SRR16229186,296,11,30.992,10135136,11
SRR29307520,456,18,52.159,6578948,15
ERR10777244,302,37,110.754,9933775,20
ERR10048410,300,33,97.991,10000000,11
SRR31012010,302,26,75.433,9933775,8
SRR26046869,300,15,43.329,10000000,12
SRR18148740,300,12,35.427,10000000,11
SRR21863521,302,11,30.642,9933775,5
SRR19415682,302,52,153.258,9933775,30
SRR8426591,302,12,35.689,9933775,8
SRR16555208,300,24,70.224,10000000,8
SRR24704854,292,32,93.79,10273973,13
ERR13868584,283,11,31.914,10600707,4
SRR11712053,302,14,39.203,9933775,9
ERR10101481,150,12,34.534,20000000,1
SRR22103693,296,45,132.169,10135136,22
SRR5457059,302,12,33.555,9933775,12
SRR11638334,302,13,37.87,9933775,13
SRR3195483,300,32,95.33500000000001,10000000,2
SRR18067457,245,33,96.535,12244898,22
ERR1726817,196,15,44.181,15306123,14
SRR29337675,501,13,37.938,5988024,1
SRR18653126,300,35,102.065,10000000,16
ERR13063748,202,14,41.868,14851486,8
SRR6504879,300,11,30.096,10000000,2
ERR10101741,297,20,59.046,10101011,7
ERR7445545,297,16,45.384,10101011,12
SRR13892602,300,21,61.679,10000000,8
SRR23595544,300,32,94.968,10000000,17
SRR28359763,302,24,70.167,9933775,21
SRR29283849,178,55,162.213,16853933,10
SRR15910073,295,38,112.686,10169492,37
SRR17827827,299,40,117.62,10033445,39
SRR18067412,243,25,72.615,12345680,4
SRR18067458,253,33,97.21600000000001,11857708,13
SRR29199363,300,36,106.926,10000000,13
SRR28925574,302,19,54.346000000000004,9933775,18
ERR5863108,300,18,53.576,10000000,1
SRR17827924,299,36,107.83,10033445,20
ERR4691713,196,11,31.751,15306123,2
DRR439646,302,48,141.01,9933775,30
ERR7017977,302,13,36.38,9933775,11
SRR15532677,302,55,162.654,9933775,31
ERR11673511,302,11,30.013,9933775,5
SRR24125245,300,16,47.219,10000000,8
SRR17827832,299,39,114.726,10033445,25
ERR12726937,159,29,84.72200000000001,18867925,16
SRR18214653,302,13,37.966,9933775,1
SRR5225748,202,23,67.089,14851486,3
SRR23274491,300,36,106.108,10000000,16
SRR7532899,100,12,33.88,30000000,7
SRR13001969,302,37,110.518,9933775,7
ERR12319601,297,65,192.072,10101011,6
ERR3274947,201,55,162.007,14925374,23
ERR10503186,300,15,43.058,10000000,12
SRR18595301,297,18,51.218,10101011,5
SRR20652313,500,29,84.185,6000000,8
ERR10101732,298,25,74.884,10067115,20
SRR15145661,302,17,48.483000000000004,9933775,2
SRR25400538,300,18,52.738,10000000,3
SRR27128218,302,15,43.866,9933775,14
SRR29337676,501,13,38.188,5988024,11
SRR5831615,297,16,46.68,10101011,11
ERR14172396,300,26,77.393,10000000,3
SRR29483032,300,31,91.486,10000000,11
ERR599267,197,11,31.958000000000002,15228427,5
ERR10048384,300,35,104.535,10000000,10
SRR26420192,302,11,31.037,9933775,1
SRR8879137,302,22,64.083,9933775,18
ERR599317,193,13,36.893,15544042,3
SRR32210694,300,23,68.22200000000001,10000000,10
ERR12177232,300,15,44.566,10000000,12
SRR8451834,302,34,100.116,9933775,22
SRR28961217,302,30,87.013,9933775,19
SRR5215473,302,21,62.614000000000004,9933775,10
SRR23274486,300,35,102.973,10000000,21
SRR12615112,502,30,88.811,5976096,21
SRR11195290,284,37,108.757,10563381,29
SRR29904088,250,18,51.093,12000000,11
SRR4051795,300,12,33.277,10000000,6
SRR28925567,302,21,61.333,9933775,7
SRR26718009,302,16,47.538000000000004,9933775,9
SRR18653126,300,35,102.065,10000000,31
SRR25203944,293,16,45.943,10238908,10
SRR26425192,302,12,34.079,9933775,11
